Collection,Nid,Title,Contributing Institution,Contributor,Coverage,Creator,Date Digital,Date Original (Precise),Date Original (Precise),Decade,Description,Digitization Specifications,Excerpt,Folder,Format,Image,Language,Publisher,Relation,Resource Identifier,Rights Management,Series,Source,Subject,Transcript,Type,Video
,,,,,,,,,,,,,,,,,,,,,,,,Organic gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic vegetables,,,
,,,,,,,,,,,,,,,,,,,,,,,,Lettuce,,,
,,,,,,,,,,,,,,,,,,,,,,,,Drip irrigation,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetable gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetables,,,
,256,Lettuce Beds,,Birdsfoot Farm,,"Jones, Doug",14-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,,,,,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic vegetables,,,
,,,,,,,,,,,,,,,,,,,,,,,,Lettuce,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetables,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetable gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Garden,,,
Back to the Land,257,Harvesting Lettuce,,Birdsfoot Farm,,"Jones, Doug",14-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00193_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Lettuce,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetables,,,
,,,,,,,,,,,,,,,,,,,,,,,,Harvesting,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic farming,,,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetable gardening,,,
Back to the Land,258,Planting Garlic and Using a Wheelhoe to Cover,,Birdsfoot Farm,,"Jones, Doug",14-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00194_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Planting,,,
,,,,,,,,,,,,,,,,,,,,,,,,Garlic,,,
,,,,,,,,,,,,,,,,,,,,,,,,Herbs,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetable gardening,,,
Back to the Land,327,"Cauliflower, Broccoli and Lettuce in a 5-Row Tunnel",,Birdsfoot Farm,,"Jones, Doug",21-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00225_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetable gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Cauliflower,,,
,,,,,,,,,,,,,,,,,,,,,,,,Broccoli,,,
,,,,,,,,,,,,,,,,,,,,,,,,Lettuce,,,
,,,,,,,,,,,,,,,,,,,,,,,,Row covers,,,
,,,,,,,,,,,,,,,,,,,,,,,,Season extension,,,
Back to the Land,328,Root Cellar,,Birdsfoot Farm,,"Jones, Doug",21-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00229_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Root crops,,,
,,,,,,,,,,,,,,,,,,,,,,,,Food conservation,,,
,,,,,,,,,,,,,,,,,,,,,,,,Root cellars,,,
Back to the Land,329,Making a Parsnip Bed,,Birdsfoot Farm,,"Jones, Doug",21-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00226_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetable gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Parsnip,,,
,,,,,,,,,,,,,,,,,,,,,,,,Planting,,,
Back to the Land,330,Harvesting Sunchokes (Jerusalem Artichokes),,Birdsfoot Farm,Jerusalem artichokes,"Jones, Doug",21-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00227_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Organic farming,,Image,
,,,,,Sunflowers,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,Vegetables,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,Harvesting,,,,,,,,,,,,,,,,,,,Jerusalem artichoke,,,
,,,,,Organic farming,,,,,,,,,,,,,,,,,,,Vegetables,,,
,,,,,Sustainable agriculture,,,,,,,,,,,,,,,,,,,Vegetable gardening,,,
,,,,,Birdsfoot Farm,,,,,,,,,,,,,,,,,,,Harvesting,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic gardening,,,
Back to the Land,331,Washing Jerusalem Artichokes,,Birdsfoot Farm,,"Jones, Doug",21-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00228_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Jerusalem artichokes,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sunflowers,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetables,,,
,,,,,,,,,,,,,,,,,,,,,,,,Food processing,,,
,,,,,,,,,,,,,,,,,,,,,,,,Harvesting,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic farming,,,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetable gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Washing,,,
,,,,,,,,,,,,,,,,,,,,,,,,Cleaning,,,
Back to the Land,332,Digging Parsnips in the Snow,,Birdsfoot Farm,,"Jones, Doug",21-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00230_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetable gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Season extension,,,
,,,,,,,,,,,,,,,,,,,,,,,,Gardens,,,
,,,,,,,,,,,,,,,,,,,,,,,,Harvesting,,,
,,,,,,,,,,,,,,,,,,,,,,,,Parsnip,,,
,,,,,,,,,,,,,,,,,,,,,,,,Root crops,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetables,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic gardening,,,
Back to the Land,333,Washing Jerusalem Artichokes in Wintertime,,Birdsfoot Farm,,"Jones, Doug",21-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00231_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Jerusalem artichokes,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sunflowers,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetables,,,
,,,,,,,,,,,,,,,,,,,,,,,,Food processing,,,
,,,,,,,,,,,,,,,,,,,,,,,,Harvesting,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic farming,,,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Washing,,,
,,,,,,,,,,,,,,,,,,,,,,,,Cleaning,,,
Back to the Land,334,Grading Parsnips at the Washstand,,Birdsfoot Farm,,"Jones, Doug",21-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00232_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Parsnip,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetables,,,
,,,,,,,,,,,,,,,,,,,,,,,,Food inspections,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic farming,,,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetable gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Farm Produce,,,
,,,,,,,,,,,,,,,,,,,,,,,,Food processing,,,
Back to the Land,335,Canned Goods,,Birdsfoot Farm,,"Jones, Doug",21-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00233_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Canning and Preserving,,,
,,,,,,,,,,,,,,,,,,,,,,,,Storage jars,,,
,,,,,,,,,,,,,,,,,,,,,,,,Food processing,,,
Back to the Land,336,Melon Vines in Sunlight,,Birdsfoot Farm,,"Jones, Doug",21-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00234_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Melons,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Fruit,,,
,,,,,,,,,,,,,,,,,,,,,,,,Melons,,,
,,,,,,,,,,,,,,,,,,,,,,,,Farm Produce,,,
Back to the Land,337,Corn with 2-Strand Coon Fencing,,Birdsfoot Farm,,"Jones, Doug",21-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00235_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetable gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Wire fencing,,,
,,,,,,,,,,,,,,,,,,,,,,,,Corn,,,
Back to the Land,338,Cartload of Melons,,Birdsfoot Farm,,"Jones, Doug",21-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00236_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Fruit,,,
,,,,,,,,,,,,,,,,,,,,,,,,Melons,,,
,,,,,,,,,,,,,,,,,,,,,,,,Farm produce,,,
Back to the Land,339,Birdsfoot Barn,,Birdsfoot Farm,,"Jones, Doug",21-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00238_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Birdsfoot Farm,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Barns,,,
,,,,,,,,,,,,,,,,,,,,,,,,Farm Buildings,,,
,,,,,,,,,,,,,,,,,,,,,,,,Outbuildings,,,
Back to the Land,340,Birdsfoot Group Photograph,,Birdsfoot Farm,,"Jones, Doug",21-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00239_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Birdsfoot Farm,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Farmhouses,,,
,,,,,,,,,,,,,,,,,,,,,,,,"Portraits, Group",,,
,,,,,,,,,,,,,,,,,,,,,,,,Porches,,,
,,,,,,,,,,,,,,,,,,,,,,,,Communal living,,,
,,,,,,,,,,,,,,,,,,,,,,,,Goats,,,
,341,Birdsfoot Group Photograph,,Birdsfoot Farm,,"Jones, Doug",21-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,,,,,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Birdsfoot Farm,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Farmhouses,,,
,,,,,,,,,,,,,,,,,,,,,,,,Porches,,,
,,,,,,,,,,,,,,,,,,,,,,,,Communal living,,,
,,,,,,,,,,,,,,,,,,,,,,,,"Portraits, Group",,,
Back to the Land,342,Birdsfoot Group Photograph,,Birdsfoot Farm,,"Jones, Doug",21-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00241_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Farmhouses,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Porches,,,
,,,,,,,,,,,,,,,,,,,,,,,,"Portraits, Group",,,
Back to the Land,343,Porch Photograph,,Birdsfoot Farm,,"Jones, Doug",21-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00242_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Birdsfoot Farm,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Porches,,,
,,,,,,,,,,,,,,,,,,,,,,,,Farm life,,,
Back to the Land,344,Bringing the Cow to Pasture,,Birdsfoot Farm,,"Jones, Doug",21-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00244_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Dairying,,,
,,,,,,,,,,,,,,,,,,,,,,,,Pasture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Cows,,,
Back to the Land,345,Birdsfoot - Around the Dining Table,,Birdsfoot Farm,,"Jones, Doug",21-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00245_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Birdsfoot Farm,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Communal Living,,,
,,,,,,,,,,,,,,,,,,,,,,,,Farmhouses,,,
,,,,,,,,,,,,,,,,,,,,,,,,Rooms & spaces,,,
,,,,,,,,,,,,,,,,,,,,,,,,Farm life,,,
Back to the Land,346,May Eve,,Birdsfoot Farm,,"Jones, Doug",21-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00246_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Celebrations,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Festivals,,,
,,,,,,,,,,,,,,,,,,,,,,,,May Day,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Communal living,,,
,,,,,,,,,,,,,,,,,,,,,,,,Farm life,,,
Back to the Land,347,Maypole,,Birdsfoot Farm,,"Jones, Doug",21-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00247_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Birdsfoot Farm,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Maypoles,,,
,,,,,,,,,,,,,,,,,,,,,,,,Festivals,,,
,,,,,,,,,,,,,,,,,,,,,,,,Celebrations,,,
,,,,,,,,,,,,,,,,,,,,,,,,Farm life,,,
,,,,,,,,,,,,,,,,,,,,,,,,Communal living,,,
Back to the Land,348,May Eve,,Birdsfoot Farm,,"Jones, Doug",21-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00248_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Birdsfoot Farm,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Celebrations,,,
,,,,,,,,,,,,,,,,,,,,,,,,May Day,,,
,,,,,,,,,,,,,,,,,,,,,,,,Festivals,,,
,,,,,,,,,,,,,,,,,,,,,,,,Communal living,,,
,,,,,,,,,,,,,,,,,,,,,,,,Farm life,,,
,,,,,,,,,,,,,,,,,,,,,,,,May poles,,,
Back to the Land,349,Maypole Celebration,,Birdsfoot Farm,,"Jones, Doug",21-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00249_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Birdsfoot Farm,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Communal living,,,
,,,,,,,,,,,,,,,,,,,,,,,,Farm life,,,
,,,,,,,,,,,,,,,,,,,,,,,,May Day,,,
,,,,,,,,,,,,,,,,,,,,,,,,Maypoles,,,
,,,,,,,,,,,,,,,,,,,,,,,,Festivals,,,
,,,,,,,,,,,,,,,,,,,,,,,,Celebrations,,,
,,,,,,,,,,,,,,,,,,,,,,,,Farm life,,,
Back to the Land,350,Visiting on the Birdsfoot Porch,,Birdsfoot Farm,,"Jones, Doug",21-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00250_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Birdsfoot Farm,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Porches,,,
,,,,,,,,,,,,,,,,,,,,,,,,Farm life,,,
,,,,,,,,,,,,,,,,,,,,,,,,Country life,,,
Back to the Land,351,Putting Up New Siding on the Main House,,Birdsfoot Farm,,"Jones, Doug",21-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00251_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Birdsfoot Farm,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Farmhouses,,,
,,,,,,,,,,,,,,,,,,,,,,,,Houses,,,
,,,,,,,,,,,,,,,,,,,,,,,,Dwellings,,,
Back to the Land,352,Putting in a New Floor Upstairs in the Main House,,Birdsfoot Farm,,"Jones, Doug",21-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00252_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Birdsfoot Farm,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Farmhouses,,,
,,,,,,,,,,,,,,,,,,,,,,,,Rooms & spaces,,,
,,,,,,,,,,,,,,,,,,,,,,,,Farm life,,,
Back to the Land,353,Pink House,,Birdsfoot Farm,,"Jones, Doug",21-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00253_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Birdsfoot Farm,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Houses,,,
,,,,,,,,,,,,,,,,,,,,,,,,Dwellings,,,
,,,,,,,,,,,,,,,,,,,,,,,,Owner built houses,,,
